NrOfRowsMerged,SIKB,OtherEnglishAlias,NVWA,ValidCas,REWAB,KIWAnumber,SIKBcode,BestCid,BestCas,ValidCid,MicrobialParameters,OtherDutchAlias,HGC,Warnings,REWAB_units,REWAB_CASnumber,Other_CASnumber,AllowMergeRows,FeatureDataBase,Category,SIKB_CASnumber,NVWA_CASnumber,SIKB_Group,DefaultUnits,Feature
1,"['3,4-dimethylpyridine']","['3,4-dimethylpyridine']",[],['583-58-4'],[],[],['34DC1yprdne'],[11417],['583-58-4'],[11417],[],[],[],[],,[],[],True,PubChemCompound,,['583-58-4'],[],ChemischeStof,μg/L,PubChemCid 11417
3,['foramsulfuron'],['foramsulfuron'],['FORAMSULFURON'],['173159-57-4'],['foramsulfuron'],['8711'],['forasfrn'],[11419598],['173159-57-4'],[11419598],[],['foramsulfuron'],[],[],,[],[],True,PubChemCompound,,['173159-57-4'],[],ChemischeStof,μg/L,PubChemCid 11419598
2,"['2,3-dimethylpyridine']","['2,3-dimethylpyridine', 'dimethylpyridine']",[],"['27175-64-0', '583-61-9']",['dimethylpyridine'],['1142'],['23DC1yprdne'],[11420],"['27175-64-0', '583-61-9']",[11420],[],[],[],[],,[],[],True,PubChemCompound,,['583-61-9'],[],ChemischeStof,μg/L,PubChemCid 11420
1,['3-pentanol'],['3-pentanol'],[],['584-02-1'],[],[],['3C5ol'],[11428],['584-02-1'],[11428],[],[],[],[],,[],[],True,PubChemCompound,,['584-02-1'],[],ChemischeStof,μg/L,PubChemCid 11428
3,['bixafen'],['bixafen'],['BIXAFEN'],['581809-46-3'],['bixafen'],['8816'],['bixfn'],[11434448],['581809-46-3'],[11434448],[],['bixafen'],[],[],,[],[],True,PubChemCompound,,['581809-46-3'],[],ChemischeStof,μg/L,PubChemCid 11434448
3,['allethrin'],"['Bioallethrin', 'allethrin']",['BIOALLETHRIN'],['584-79-2'],['allethrin'],['8009'],['alltn'],[11442],['584-79-2'],[11442],[],['bioallethrin'],[],['Alias and CAS both have CID but do not overlap'],,[],[],True,PubChemCompound,,[],['584-79-2'],,μg/L,PubChemCid 11442
1,"['2,4-tolueendiisocyanaat']","['2,4-toluene diisocyanate']",[],['584-84-9'],[],[],['24TolDiCN'],[11443],['584-84-9'],[11443],[],[],[],[],,[],[],True,PubChemCompound,,['584-84-9'],[],ChemischeStof,μg/L,PubChemCid 11443
2,"['2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propionzuur']","['2,3,3,3-tetrafluoro-2-heptafluoropropoxypropanoic acid', '2,3,\xa03,3-tetrafluoro-2- (heptafluoropropoxy) propionic acid']",[],['13252-13-6'],"['2,3,3,3-tetrafluor-2-heptafluorpropoxypropaanzuur']",['2327'],['FRD-903'],[114481],['13252-13-6'],[114481],[],[],[],[],,[],[],True,PubChemCompound,,['13252-13-6'],[],ChemischeStof,μg/L,PubChemCid 114481
1,['3-tertiair-butylfenol'],['3-tertiary butyl phenol'],[],['585-34-2'],[],[],['3ttC4yFol'],[11450],['585-34-2'],[11450],[],[],[],[],,[],[],True,PubChemCompound,,['585-34-2'],[],ChemischeStof,μg/L,PubChemCid 11450
1,['3-methylacetofenon'],['3-methyl acetophenone'],[],['585-74-0'],[],[],['3C1yactfnn'],[11455],['585-74-0'],[11455],[],[],[],[],,[],[],True,PubChemCompound,,['585-74-0'],[],ChemischeStof,μg/L,PubChemCid 11455
2,['trimethylamine'],"['trimethylamine', 'trimethyldiazine']",[],"['19530-21-3', '75-50-3']",['trimethyldiazine'],['1159'],['TC1yAe'],[1146],"['19530-21-3', '75-50-3']",[1146],[],[],[],[],,[],[],True,PubChemCompound,,['75-50-3'],[],ChemischeStof,μg/L,PubChemCid 1146
1,"['trans-10,11-dihydroxy-10,11-dihydrocarbazepine']","['trans-10,11-dihydroxy-10,11-dihydrocarbazepine']",[],['58955-93-4'],[],[],['t1011DHOx101'],[114725],['58955-93-4'],[114725],[],[],[],[],,[],[],True,PubChemCompound,,['58955-93-4'],[],ChemischeStof,μg/L,PubChemCid 114725
1,['pentachloornaftaleen'],['pentachloronaphthalene'],[],['1321-64-8'],[],[],['PeClNaf'],[114760],['1321-64-8'],[114760],[],[],[],[],,[],[],True,PubChemCompound,,['1321-64-8'],[],ChemischeStof,μg/L,PubChemCid 114760
2,['broomdichloorazijnzuur'],['bromodichloroacetic acid'],[],['71133-14-7'],['broomdichloorazijnzuur'],['1976'],['BrDClHAc'],[114809],['71133-14-7'],[114809],[],[],[],[],,[],[],True,PubChemCompound,,['71133-14-7'],[],ChemischeStof,μg/L,PubChemCid 114809
2,['florfenicol'],"['Florfenicol', 'florfenicol']",[],"['73231-34-2', '76639-94-6']",['Florfenicol'],['6384'],['florfncl'],[114811],"['73231-34-2', '76639-94-6']",[114811],[],[],[],[],,[],[],True,PubChemCompound,,['76639-94-6'],[],ChemischeStof,μg/L,PubChemCid 114811
1,['neodymium 147'],['neodymium 147'],[],['14269-74-0'],[],[],['Nd147'],[114848],['14269-74-0'],[114848],[],[],[],[],,[],[],True,PubChemCompound,,['14269-74-0'],[],ChemischeStof,μg/L,PubChemCid 114848
2,['difenylamine'],['diphenylamine'],[],['122-39-4'],['difenylamine'],['1689'],['DFyAe'],[11487],['122-39-4'],[11487],[],[],[],[],,[],[],True,PubChemCompound,,['122-39-4'],[],ChemischeStof,μg/L,PubChemCid 11487
3,['pyridalyl'],['pyridalyl'],['PYRIDALYL'],['179101-81-6'],['pyridalyl'],['8941'],['pyrdll'],[11488729],['179101-81-6'],[11488729],[],['pyridalyl'],[],[],,[],[],True,PubChemCompound,,['179101-81-6'],[],ChemischeStof,μg/L,PubChemCid 11488729
2,['fenpyrazamine'],['fenpyrazamine'],['FENPYRAZAMINE'],['473798-59-3'],[],[],['fenprAe'],[11493665],['473798-59-3'],[11493665],[],['fenpyrazamine'],[],[],,[],[],True,PubChemCompound,,['473798-59-3'],[],ChemischeStof,μg/L,PubChemCid 11493665
2,['cyflumetofen'],['cyflumetofen'],['CYFLUMETOFEN'],['400882-07-7'],[],[],['cyfmtfn'],[11496052],['400882-07-7'],[11496052],[],['cyflumetofen'],[],[],,[],[],True,PubChemCompound,,['400882-07-7'],[],ChemischeStof,μg/L,PubChemCid 11496052
2,['halofenozide'],['halofenozide'],[],['112226-61-6'],['halofenozide'],['8888'],['halfnzde'],[114994],['112226-61-6'],[114994],[],[],[],[],,[],[],True,PubChemCompound,,['112226-61-6'],[],ChemischeStof,μg/L,PubChemCid 114994
1,['spinosynA'],['spinosynA'],[],['131929-60-7'],[],[],['spinsnA'],[115003],['131929-60-7'],"[115003, 443059, 4487554, 24721309, 134692724, 138981341]",[],[],[],[],,[],[],True,PubChemCompound,,['131929-60-7'],[],ChemischeStof,μg/L,"PubChemCid 115003, PubChemCid 443059, PubChemCid 4487554, PubChemCid 24721309, PubChemCid 134692724, PubChemCid 138981341"
1,['3-methylhexaan'],['3-methylhexane'],[],['589-34-4'],[],[],['3C1yC6a'],[11507],['589-34-4'],[11507],[],[],[],[],,[],[],True,PubChemCompound,,['589-34-4'],[],ChemischeStof,μg/L,PubChemCid 11507
1,"['2,4-dimethylhexaan']","['2,4-dimethylhexane']",[],['589-43-5'],[],[],['24DC1yC6a'],[11511],['589-43-5'],[11511],[],[],[],[],,[],[],True,PubChemCompound,,['589-43-5'],[],ChemischeStof,μg/L,PubChemCid 11511
2,['demefion'],['demefion'],[],['8065-62-1'],['demefion'],['8171'],['demfon'],[115122],['8065-62-1'],[115122],[],[],[],[],,[],[],True,PubChemCompound,,['8065-62-1'],[],ChemischeStof,μg/L,PubChemCid 115122
1,['protactinium 233'],['protactinium 233'],[],['13981-14-1'],[],[],['Pa233'],[115129],['13981-14-1'],[115129],[],[],[],[],,[],[],True,PubChemCompound,,['13981-14-1'],[],ChemischeStof,μg/L,PubChemCid 115129
1,['mangaan 52'],['manganese 52'],[],['14092-99-0'],[],[],['Mn52'],[115131],['14092-99-0'],[115131],[],[],[],[],,[],[],True,PubChemCompound,,['14092-99-0'],[],ChemischeStof,μg/L,PubChemCid 115131
1,['niobium 94'],['niobium 94'],[],['14681-63-1'],[],[],['Nb94'],[115134],['14681-63-1'],[115134],[],[],[],[],,[],[],True,PubChemCompound,,['14681-63-1'],[],ChemischeStof,μg/L,PubChemCid 115134
1,"['2-ethylidene-1,5-dimethyl-3,3-difenylpyrrolidine']","['2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine']",[],['30223-73-5'],[],[],['2C2yid15DC1y'],[115159],['30223-73-5'],"[115159, 5352621, 5378015]",[],[],[],[],,[],[],True,PubChemCompound,,['30223-73-5'],[],ChemischeStof,μg/L,"PubChemCid 115159, PubChemCid 5352621, PubChemCid 5378015"
1,['3-methylheptaan'],['3-methylheptane'],[],['589-81-1'],[],[],['3C1yC7a'],[11519],['589-81-1'],[11519],[],[],[],[],,[],[],True,PubChemCompound,,['589-81-1'],[],ChemischeStof,μg/L,PubChemCid 11519
3,['thiacloprid'],['thiacloprid'],['THIACLOPRID'],['111988-49-9'],['thiacloprid'],['8726'],['thiacpd'],[115224],['111988-49-9'],[115224],[],['thiacloprid'],[],[],,[],[],True,PubChemCompound,,['111988-49-9'],[],ChemischeStof,μg/L,PubChemCid 115224
1,[],['alachlor-ESA'],[],['142363-53-9'],['alachloor-ESA'],['9010'],[],[115236],['142363-53-9'],[115236],[],[],[],[],µg/L,['142363-53-9'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 115236
2,['4-methylcyclohexanon'],"['4-methylcyclohexanone', 'methylcyclohexanone']",[],"['1331-22-2', '589-92-4']",['methylcyclohexanon'],['1600'],['4Cy1cycC6on'],[11525],"['1331-22-2', '589-92-4']",[11525],[],[],[],"['CID found for Alias but not for CAS', 'row merged only based on Alias2Cid because Cas2Cid was not found on all rows']",,[],[],True,PubChemCompound,,['589-92-4'],[],ChemischeStof,μg/L,PubChemCid 11525
2,['dibroomchloorazijnzuur'],"['chlorodibromoacetic acid', 'dibromochloroacetic acid']",[],['5278-95-5'],['chloordibroomazijnzuur'],['1977'],['DBrClHAc'],[115266],['5278-95-5'],[115266],[],[],[],[],,[],[],True,PubChemCompound,,['5278-95-5'],[],ChemischeStof,μg/L,PubChemCid 115266
1,['diquatdibromide-monohydraat'],['diquat dibromide monohydrate'],[],['6385-62-2'],[],[],['DqDBrH2O'],[115268],['6385-62-2'],[115268],[],[],[],[],,[],[],True,PubChemCompound,,['6385-62-2'],[],ChemischeStof,μg/L,PubChemCid 115268
1,[],['n-butyl propanoate'],[],['590-01-2'],['n-butylpropanoaat'],['1621'],[],[11529],['590-01-2'],[11529],[],[],[],[],µg/L,['590-01-2'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11529
1,[],['2-methyl-2-pentanol'],[],['590-36-3'],['2-methyl-2-pentanol'],['1917'],[],[11543],['590-36-3'],[11543],[],[],[],[],µg/L,['590-36-3'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11543
1,[],['dimethylcyclohexane'],[],"['27195-67-1', '590-66-9']",['dimethylcyclohexaan'],['1084'],[],[11549],['27195-67-1'],[11549],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11549
3,['tembotrione'],"['tembotrion', 'tembotrione']",['TEMBOTRIONE'],['335104-84-2'],['tembotrion'],['9007'],['tembtone'],[11556911],['335104-84-2'],[11556911],[],['tembotrione'],[],[],,[],[],True,PubChemCompound,,['335104-84-2'],[],ChemischeStof,μg/L,PubChemCid 11556911
1,[],['3-Bromophenol'],[],['591-20-8'],['3-broomfenol'],['2377'],[],[11563],['591-20-8'],[11563],[],[],[],[],µg/L,['591-20-8'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11563
1,"['3,5-dimethylpyridine']","['3,5-dimethylpyridine']",[],['591-22-0'],[],[],['35DC1yprdne'],[11565],['591-22-0'],[11565],[],[],[],[],,[],[],True,PubChemCompound,,['591-22-0'],[],ChemischeStof,μg/L,PubChemCid 11565
2,"['3,5-dichloorfenol']","['3,5-dichlorophenol']",[],['591-35-5'],"['3,5-dichloorfenol']",['1535'],['35DClFol'],[11571],['591-35-5'],[11571],[],[],[],[],,[],[],True,PubChemCompound,,['591-35-5'],[],ChemischeStof,μg/L,PubChemCid 11571
3,['pyroxsulam'],['pyroxsulam'],['PYROXSULAM'],['422556-08-9'],['pyroxsulam'],['9018'],['pyrslm'],[11571555],['422556-08-9'],[11571555],[],['pyroxsulam'],[],[],,[],[],True,PubChemCompound,,['422556-08-9'],[],ChemischeStof,μg/L,PubChemCid 11571555
2,['cyantraniliprole'],['cyantraniliprole'],['CYANTRANILIPROLE'],['736994-63-1'],[],[],['cyatnlple'],[11578610],['736994-63-1'],[11578610],[],['cyantraniliprole'],[],[],,[],[],True,PubChemCompound,,['736994-63-1'],[],ChemischeStof,μg/L,PubChemCid 11578610
1,['2-methylhexaan'],['2-methylhexane'],[],['591-76-4'],[],[],['2C1yC6a'],[11582],['591-76-4'],[11582],[],[],[],[],,[],[],True,PubChemCompound,,['591-76-4'],[],ChemischeStof,μg/L,PubChemCid 11582
2,['2-hexanon'],"['2-hexanone', 'hexanone']",[],"['30637-87-7', '591-78-6']",['hexanon'],['1571'],['2C6on'],[11583],"['30637-87-7', '591-78-6']",[11583],[],[],[],[],,[],[],True,PubChemCompound,,['591-78-6'],[],ChemischeStof,μg/L,PubChemCid 11583
1,[],['Calcium cyanide'],['CALCIUMCYANIDE'],['592-01-8'],[],[],[],[11590],['592-01-8'],[11590],[],['calciumcyanide'],[],[],,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11590
1,"['2,5-dimethylhexaan']","['2,5-dimethylhexane']",[],['592-13-2'],[],[],['25DC1yC6a'],[11592],['592-13-2'],[11592],[],[],[],[],,[],[],True,PubChemCompound,,['592-13-2'],[],ChemischeStof,μg/L,PubChemCid 11592
1,['chlorofyl-b'],['chlorophyll-b'],[],['519-62-0'],[],[],['CHLFb'],[11593175],['519-62-0'],[11593175],[],[],[],[],,[],[],True,PubChemCompound,,['519-62-0'],[],ChemischeStof,μg/L,PubChemCid 11593175
1,['2-methylheptaan'],['2-methylheptane'],[],['592-27-8'],[],[],['2C1yC7a'],[11594],['592-27-8'],[11594],[],[],[],[],,[],[],True,PubChemCompound,,['592-27-8'],[],ChemischeStof,μg/L,PubChemCid 11594
1,[],['hexadiene'],[],['42296-74-2'],['hexadieen'],['1796'],[],[11602],['42296-74-2'],[11602],[],[],[],[],µg/L,['42296-74-2'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11602
2,['1-hepteen'],"['1-heptene', 'heptene']",[],"['25339-56-4', '592-76-7']",['hepteen'],['1005'],['1C7e'],[11610],"['25339-56-4', '592-76-7']",[11610],[],[],[],"['CID found for Alias but not for CAS', 'row merged only based on Alias2Cid because Cas2Cid was not found on all rows']",,[],[],True,PubChemCompound,,['592-76-7'],[],ChemischeStof,μg/L,PubChemCid 11610
1,[],['octadecane'],[],['593-45-3'],['octadecaan'],['1015'],[],[11635],['593-45-3'],[11635],[],[],[],[],µg/L,['593-45-3'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11635
1,['broometheen'],['bromoethylene'],[],['593-60-2'],[],[],['BrC2e'],[11641],['593-60-2'],[11641],[],[],[],[],,[],[],True,PubChemCompound,,['593-60-2'],[],ChemischeStof,μg/L,PubChemCid 11641
1,[],['chloroiodomethane'],[],['593-71-5'],['chloorjoodmethaan'],['1031'],[],[11644],['593-71-5'],[11644],[],[],[],[],µg/L,['593-71-5'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11644
2,['emamectin-benzoaat'],['emamectin benzoate'],['EMAMECTIN_BENZOAAT'],['155569-91-8'],[],[],['emmtbzat'],[11650986],['155569-91-8'],"[11650986, 22833503, 131668531, 137706037, 154723864]",[],['emamectin-benzoaat'],[],[],,[],[],True,PubChemCompound,,['155569-91-8'],[],ChemischeStof,μg/L,"PubChemCid 11650986, PubChemCid 22833503, PubChemCid 131668531, PubChemCid 137706037, PubChemCid 154723864"
1,"['2,6-dichloor-3-methylaniline']","['2,6-dichloro-3-methylaniline']",[],['64063-37-2'],[],[],['26DCl3C1yAn'],[116529],['64063-37-2'],[116529],[],[],[],[],,[],[],True,PubChemCompound,,['64063-37-2'],[],ChemischeStof,μg/L,PubChemCid 116529
1,[],['dibromoiodomethane'],[],['593-94-2'],['dibroomjoodmethaan'],['1034'],[],[11653],['593-94-2'],[11653],[],[],[],[],µg/L,['593-94-2'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11653
1,"[""4'-hydroxydiclofenac""]","[""4'-hydroxydiclofenac""]",[],['64118-84-9'],[],[],['4HoxDcfnc'],[116545],['64118-84-9'],[116545],[],[],[],[],,[],[],True,PubChemCompound,,['64118-84-9'],[],ChemischeStof,μg/L,PubChemCid 116545
1,[],['dichloroiodomethane'],[],['594-04-7'],['dichloorjoodmethaan'],['1043'],[],[11655],['594-04-7'],[11655],[],[],[],[],µg/L,['594-04-7'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11655
3,['tritosulfuron'],['tritosulfuron'],['TRITOSULFURON'],['142469-14-5'],['tritosulfuron'],['8729'],['tritsfrn'],[11657899],['142469-14-5'],[11657899],[],['tritosulfuron'],[],[],,[],[],True,PubChemCompound,,['142469-14-5'],[],ChemischeStof,μg/L,PubChemCid 11657899
2,"['2,2-dichloorpropaan']","['2,2-dichloropropane']",[],['594-20-7'],"['2,2-dichloorpropaan']",['1047'],['22DClC3a'],[11660],['594-20-7'],[11660],[],[],[],[],,[],[],True,PubChemCompound,,['594-20-7'],[],ChemischeStof,μg/L,PubChemCid 11660
1,['perchloormethylmercaptan'],['perchloromethyl mercaptan'],[],['594-42-3'],[],[],['perClC1ymctn'],[11666],['594-42-3'],[11666],[],[],[],[],,[],[],True,PubChemCompound,,['594-42-3'],[],ChemischeStof,μg/L,PubChemCid 11666
3,['penflufen'],"['Penflufen', 'penflufen']",['PENFLUFEN'],['494793-67-8'],['Penflufen'],['9031'],['penffn'],[11674113],['494793-67-8'],[11674113],[],['penflufen'],[],[],,[],[],True,PubChemCompound,,['494793-67-8'],[],ChemischeStof,μg/L,PubChemCid 11674113
3,['sedaxane'],"['Sedaxaan', 'Sedaxane', 'sedaxane']",['SEDAXAAN'],['874967-67-6'],['Sedaxaan'],['9030'],['sedxne'],[11688533],['874967-67-6'],[11688533],[],['sedaxaan'],[],[],,[],[],True,PubChemCompound,,['874967-67-6'],[],ChemischeStof,μg/L,PubChemCid 11688533
2,"['broompyrolaat', 'pyrolaat']","['bromopyrolate', 'pyrolate']",[],"['53808-86-9', '596-51-0']",[],[],"['Brprlt', 'pyrlt']",[11693],"['53808-86-9', '596-51-0']",[11693],[],[],[],[],,[],[],True,PubChemCompound,,['53808-86-9'],[],ChemischeStof,μg/L,PubChemCid 11693
3,['florasulam'],['florasulam'],['FLORASULAM'],['145701-23-1'],['florasulam'],['8710'],['flurslm'],[11700495],['145701-23-1'],[11700495],[],['florasulam'],[],[],,[],[],True,PubChemCompound,,['145701-23-1'],[],ChemischeStof,μg/L,PubChemCid 11700495
1,[],"['1,1,2-tribromoethylene']",[],['598-16-3'],"['1,1,2-tribroometheen']",['1996'],[],[11712],['598-16-3'],[11712],[],[],[],[],µg/L,['598-16-3'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11712
1,['methylcarbamaat'],['methyl carbamate'],[],['598-55-0'],[],[],['C1ycbmt'],[11722],['598-55-0'],[11722],[],[],[],[],,[],[],True,PubChemCompound,,['598-55-0'],[],ChemischeStof,μg/L,PubChemCid 11722
2,"['1,1,2-trichloorpropaan']","['1,1,2-trichloropropane']",[],['598-77-6'],"['1,1,2-trichloorpropaan']",['1067'],['112TClC3a'],[11733],['598-77-6'],[11733],[],[],[],[],,[],[],True,PubChemCompound,,['598-77-6'],[],ChemischeStof,μg/L,PubChemCid 11733
1,[],['chloracrylic acid'],[],['598-79-8'],['chlooracrylzuur'],['8090'],[],[11735],['598-79-8'],[11735],[],[],[],[],µg/L,['598-79-8'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11735
1,['4-cumylfenol'],['4-cumylphenol'],[],['599-64-4'],[],[],['4cumFol'],[11742],['599-64-4'],[11742],[],[],[],[],,[],[],True,PubChemCompound,,['599-64-4'],[],ChemischeStof,μg/L,PubChemCid 11742
1,[],"['2,3-dimethyl-3-pentanol']",[],['600-36-2'],"['2,3-dimethyl-3-pentanol']",['1918'],[],[11752],['600-36-2'],[11752],[],[],[],['Alias and CAS both have CID but do not overlap'],µg/L,['600-36-2'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11752
2,['ureum'],['urea'],[],['57-13-6'],['ureum'],['152'],['urum'],[1176],['57-13-6'],[1176],[],[],[],[],,[],[],True,PubChemCompound,,['57-13-6'],[],ChemischeStof,μg/L,PubChemCid 1176
1,"['2,3-dinitrotolueen']","['2,3-dinitrotoluene']",[],['602-01-7'],[],[],['23DNO2Tol'],[11761],['602-01-7'],[11761],[],[],[],[],,[],[],True,PubChemCompound,,['602-01-7'],[],ChemischeStof,μg/L,PubChemCid 11761
1,['alfa-hexabroomcyclododecaan'],['alpha-hexabromocyclododecane'],[],['134237-50-6'],[],[],['aHBCD'],[11763618],['134237-50-6'],[11763618],[],[],[],[],,[],[],True,PubChemCompound,,['134237-50-6'],[],ChemischeStof,μg/L,PubChemCid 11763618
1,['trifenylfosfine'],['triphenylphosphine'],[],['603-35-0'],[],[],['Tfyffne'],[11776],['603-35-0'],[11776],[],[],[],[],,[],[],True,PubChemCompound,,['603-35-0'],[],ChemischeStof,μg/L,PubChemCid 11776
1,['2-amino-6-nitrotolueen'],['2-amino-6-nitrotoluene'],[],['603-83-8'],[],[],['2Ao6NO2Tol'],[11783],['603-83-8'],[11783],[],[],[],[],,[],[],True,PubChemCompound,,['603-83-8'],[],ChemischeStof,μg/L,PubChemCid 11783
1,[],['dimethyl biphenyl'],[],"['32587-64-7', '605-39-0']",['dimethylbifenyl'],['1174'],[],[11797],['32587-64-7'],[11797],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11797
2,['diisopropylftalaat'],"['di-iso-propyl phthalate', 'diisopropyl phthalate']",[],['605-45-8'],['di-iso-propylftalaat'],['2390'],['DiC3yFt'],[11799],['605-45-8'],[11799],[],[],[],[],,[],[],True,PubChemCompound,,['605-45-8'],[],ChemischeStof,μg/L,PubChemCid 11799
1,[],['methylpyrrolipyridine'],[],[],['methylpyrrolipyridine'],['1855'],[],[11805036],[],[11805036],[],[],[],[],µg/L,[],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11805036
2,"['2,6-dinitrotolueen']","['2,6-dinitromethylbenzene', '2,6-dinitrotoluene']",[],['606-20-2'],"['2,6-dinitromethylbenzeen']",['1985'],['26DNO2Tol'],[11813],['606-20-2'],[11813],[],[],[],[],,[],[],True,PubChemCompound,,['606-20-2'],[],ChemischeStof,μg/L,PubChemCid 11813
1,[],['butafenacil'],[],['134605-64-4'],['butafenacil'],['8820'],[],[11826859],['134605-64-4'],[11826859],[],[],[],[],µg/L,['134605-64-4'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11826859
1,"['1,3,5-tribroom-2-(2,3-dibroom-2-methylpropoxy)benzeen']","['1,3,5-tribromo-2- (2,3-dibromo-2-methylpropoxy) benzene']",[],['36065-30-2'],[],[],['135TBr223DBr'],[118274],['36065-30-2'],[118274],[],[],[],[],,[],[],True,PubChemCompound,,['36065-30-2'],[],ChemischeStof,μg/L,PubChemCid 118274
1,['vanilline'],['vanillin'],[],['121-33-5'],[],[],['vanlne'],[1183],['121-33-5'],[1183],[],[],[],[],,[],[],True,PubChemCompound,,['121-33-5'],[],ChemischeStof,μg/L,PubChemCid 1183
1,[],['isopropyl salicylate'],[],['607-85-2'],['isopropylsalicylaat'],['1657'],[],[11838],['607-85-2'],[11838],[],[],[],[],µg/L,['607-85-2'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11838
1,[],"['2,4,6-tribromoanisole']",[],['607-99-8'],"['2,4,6-tribroomanisool']",['2384'],[],[11839],['607-99-8'],[11839],[],[],[],[],µg/L,['607-99-8'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11839
2,"['2,3-dichlooraniline']","['2,3-dichloroaniline']",[],['608-27-5'],"['2,3-dichlooraniline']",['1708'],['23DClAn'],[11844],['608-27-5'],[11844],[],[],[],[],,[],[],True,PubChemCompound,,['608-27-5'],[],ChemischeStof,μg/L,PubChemCid 11844
2,"['2,6-dichlooraniline']","['2,6-dichloroaniline']",[],['608-31-1'],"['2,6-dichlooraniline']",['8196'],['26DClAn'],[11846],['608-31-1'],[11846],[],[],[],[],,[],[],True,PubChemCompound,,['608-31-1'],[],ChemischeStof,μg/L,PubChemCid 11846
1,[],"['2,6-dibromophenol']",[],['608-33-3'],"['2,6-dibroomfenol']",['2376'],[],[11847],['608-33-3'],[11847],[],[],[],[],µg/L,['608-33-3'],[],True,PubChemCompound,,[],[],,μg/L,PubChemCid 11847
2,['pentachloorbenzeen'],['pentachlorobenzene'],[],['608-93-5'],['pentachloorbenzeen'],['1127'],['PeClBen'],[11855],['608-93-5'],[11855],[],[],[],[],,[],[],True,PubChemCompound,,['608-93-5'],[],ChemischeStof,μg/L,PubChemCid 11855
2,"['3,4,5-trichloorfenol']","['3,4,5-trichlorophenol']",[],['609-19-8'],"['3,4,5-trichloorfenol']",['1544'],['345TClFol'],[11859],['609-19-8'],[11859],[],[],[],[],,[],[],True,PubChemCompound,,['609-19-8'],[],ChemischeStof,μg/L,PubChemCid 11859
1,"['N,N,2-trimethylaniline']","['N\xa0, N\xa0, 2-trimethylaniline']",[],['609-72-3'],[],[],['NN2TC1yAn'],[11869],['609-72-3'],[11869],[],[],[],[],,[],[],True,PubChemCompound,,['609-72-3'],[],ChemischeStof,μg/L,PubChemCid 11869
1,['2-propyl-2-heptenal'],['2-propyl-2-heptenal'],[],['34880-43-8'],[],[],['2C3y2C7eal'],[118745],['34880-43-8'],"[118745, 5362766, 6386353]",[],[],[],[],,[],[],True,PubChemCompound,,['34880-43-8'],[],ChemischeStof,μg/L,"PubChemCid 118745, PubChemCid 5362766, PubChemCid 6386353"
1,"['3,4-dinitrotolueen']","['3,4-dinitrotoluene']",[],['610-39-9'],[],[],['34DNO2Tol'],[11883],['610-39-9'],[11883],[],[],[],[],,[],[],True,PubChemCompound,,['610-39-9'],[],ChemischeStof,μg/L,PubChemCid 11883
2,"['2,4-dichloornitrobenzeen']","['2,4-dichloronitrobenzene']",[],['611-06-3'],"['2,4-dichloornitrobenzeen']",['2152'],['24DClNO2Ben'],[11899],['611-06-3'],[11899],[],[],[],[],,[],[],True,PubChemCompound,,['611-06-3'],[],ChemischeStof,μg/L,PubChemCid 11899
3,"['2-ethyltolueen', 'ethyltolueen']","['2-ethyl toluene', 'ethyl toluene']",[],"['25550-14-5', '611-14-3']",['2-ethyltolueen'],['1958'],"['2C2yTol', 'C2yTol']",[11903],"['25550-14-5', '611-14-3']",[11903],[],[],[],[],,[],[],True,PubChemCompound,,['611-14-3'],[],ChemischeStof,μg/L,PubChemCid 11903
1,"['16alfa-ethyl-21-hydroxy-19-nor-4-pregnene-3,20-dione']","['16alpha-ethyl-21-hydroxy-19-nor-4-pregnene-3,20-dione']",[],['24320-06-7'],[],[],['org2058'],[119086],['24320-06-7'],[119086],[],[],[],[],,[],[],True,PubChemCompound,,['24320-06-7'],[],ChemischeStof,μg/L,PubChemCid 119086
